Citation	Full Reference	Data Type	Resource Type	Resource Type Comment	Methods	Methods Comment	Location	Year	Accession	Accession Type
85	Burckhardt, D. (2002). Vorläufiges Verzeichnis der Blattflöhe Mitteleuropas mit Wirtspflanzenangaben. Cicadina, 5, 1–9.	Analogue	Primary literature		Metaanalysis		Central Europe	2002	10.25673/92174	DOI
86	Kozár, F., Guignard, E., & Bachmann, F. (1994). The scale insect and whitefly species of Switzerland (Homoptera: Coccoidea and Aleyrodoidea).	Analogue	Primary literature		Visual observation		Switzerland	1994	10.5169/seals-402550	DOI
87	Daly, H. V., Daly, H. V., Ross, E. S., Daly, B. B., Doyen, J. T., & Purcell, A. H. (1998). Introduction to insect biology and diversity (Second ed.). Oxford Univ. Press.	Analogue	Book		NA		Germany	1998	978-01-9510-033-4	ISBN-13
88	Meyer, J. R. (2007, February 5). Psocoptera. North Carolina State University. https://web.archive.org/web/20070205021919/http://www.cals.ncsu.edu/course/ent425/compendium/psocop~1.html Retrieved 19 April 2022	Analogue	Scientific website		NA		North America	2005	https://web.archive.org/web/20070205021919/http://www.cals.ncsu.edu/course/ent425/compendium/psocop~1.html	URL
89	Tomanović, Ž., Žikić, V., & Petrović, A. (2021). Fauna of Parasitoid Wasps (Hymenoptera, Braconidae, Aphidiinae) of Serbia. Београд : Српска академија наука и уметности. https://biore.bio.bg.ac.rs/handle/123456789/6489	Analogue	Primary literature		NA		Serbia	2020	https://biore.bio.bg.ac.rs/handle/123456789/6489	URL
90	Lutovinovas, E. (2009). New Record of a Rare Parasitic Fly Adapsilia Coarctata Waga (Diptera: Pyrgotidae) from Europe. Acta Zoologica Lituanica, 19(3), 231–234. https://doi.org/10.2478/v10043-009-0023-6	Analogue	Primary literature		NA		Europe	2009	10.2478/v10043-009-0023-6	DOI
91	Ujvárosi, L., Kolcsár, L. P., Bálint, M., & Ciprian, M. (2010). Pediciidae larvae (Insecta, Diptera) in the Carpathian Basin: Preliminary results and further perspectives. Acta Biologica Debrecina. Supplementum Oecologica Hungarica, 21, 233–246.	Analogue	Primary literature	Identification literature	Visual observation		Central Europe	2010	https://www.academia.edu/download/42732529/Ujvarosi_2010.pdf	URL
92	Brunel, E. (1998). Family Opomyzidae. In Contributions to a manual of Palaearctic Diptera (with special reference to flies of economic importance): Vol. 3: Higher Brachycera. Science Herald.	Analogue	Book	Identification literature	NA		Europe; Russia	1998	978-96-3048-838-9	ISBN-13
93	Mathis, W. N., & Freidberg, A. (1994). A Revision Of The Nearctic Aulacigaster Macquart With Notes On A-Leucopeza (Meigen) From The Palearctic Region (Diptera, Aulacigastridae). Proceedings of the Entomological Society of Washington, 96, 583–598.	Analogue	Primary literature		NA		Global	1994	https://biostor.org/reference/74955	URL
94	Frey, R. (1921). Studien über den Bau des Mundes der niederen Diptera Schizophora nebst Bemerkungen über die Systematik dieser Dipterengruppe. [J. Simelii Arvingar].	Analogue	Primary literature		NA		NA	1921	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/19n6r1g/alma991000342639705501	URL
95	Foote, B. A. (1995). Biology of Shore Flies. Annual Review of Entomology, 40(1), 417–442.	Analogue	Primary literature		NA		Global	1995	10.1146/annurev.en.40.010195.002221	DOI
96	Borror, D. J., Triplehorn, C. A., & Johnson, N. F. (1989). An introduction to the study of insects (Sixth ed.). Saunders College.	Analogue	Book		NA		NA	1989	00-3025-397-7	ISBN-10
97	Loew, H. (1862). Monographs Of The Diptera Of North America. Smithsonian Institution; Smithsonian Miscellaneous Collection 6(1). https://doi.org/10.5962/bhl.title.57906	Analogue	Book	Identification literature	NA		North America	1862	10.5962/bhl.title.57906	DOI
98	de Jong, H., Oosterbroek, P., Gelhaus, J., Reusch, H., & Young, C. (2008). Global diversity of craneflies (Insecta, Diptera: Tipulidea or Tipulidae sensu lato) in freshwater. In E. V. Balian, C. Lévêque, H. Segers, & K. Martens (Eds.), Freshwater Animal Diversity Assessment (pp. 457–467). Springer Netherlands. https://doi.org/10.1007/978-1-4020-8259-7_46	Analogue	Primary literature		NA		Global	2008	978-14-0208-259-7	ISBN-13
99	Schiner, Ignaz Rudolph. (1863). Vorläufiger Commentar zum dipterologischen Theile der ‘Fauna austriaca’. Wiener Entomologische Monatschrift, 7, 217–226.	Analogue	Primary literature		NA		Austria	1863	https://biostor.org/reference/197558	URL
100	Byers, G. W., & Rossman, D. A. (2004). Preliminary survey of the crane flies of Louisiana (Diptera: Tipulidae, Ptychopteridae). Proceedings of the Entomological Society of Washington, 106, 884–890.	Analogue	Primary literature		NA		USA	2004	https://www.biodiversitylibrary.org/part/68873	URL
101	Vaillant, H. F. J. O. T. F. (1958). Die Fliegen der Palaearktischen Region. Familie 9 (a-d): Psychodidae: Bruchomyiinae, Trichomyiinae, Phlebotominae, Psychodinae. Schweizerbart Science Publishers.	Analogue	Book		NA		Europe; Russia	1958	978-35-1043-168-7	ISBN-13
102	Gordh, G., & Headrick, D. (2001). A Dictionary of Entomology. CABI Pub.	Analogue	Book		NA		NA	2015	978-08-5199-291-4	ISBN-13
103	Bartlett, T., Coin, P., Leung, R., Moisset, B., McLeod, R., Wirth, C., Barnd, B., Fahmy, O., Quinn, M., Carr, J. F., & Marfus, V. (2022). Family Culicidae—Mosquitoes. https://bugguide.net/node/view/169	Analogue	Scientific website		NA		North America	2022	https://bugguide.net/node/view/169	URL
104	Lukešová, A., & Frouz, J. (2007). Soil and Freshwater Micro-Algae as a Food Source for Invertebrates in Extreme Environments. In J. Seckbach (Ed.), Algae and Cyanobacteria in Extreme Environments (pp. 265–284). Springer Netherlands. https://doi.org/10.1007/978-1-4020-6112-7_14	Analogue	Book		NA		NA	2007	10.1007/978-1-4020-6112-7_14	DOI
105	Connelly, C. R. (2013). Biting midges, no-see-ums Culicoides spp. (Insecta: Diptera: Ceratopogonidae): EENY349/IN626, 4/2013. EDIS, 2013(5), Article 5. https://doi.org/10.32473/edis-in626-2013	Analogue	Scientific website		Metaanalysis		USA	2005	10.32473/edis-in626-2013	DOI
106	Kits, J., McLeod, R., Entz, C., Carr, J. F., & Marfus, V. (2014). Family Simuliidae—Black Flies. https://bugguide.net/node/view/16613	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/16613	URL
107	Pape, T., Blagoderov, V., & Mostovski, M. B. (2011). Order Diptera Linnaeus, 1758. In: Zhang, Z.-Q. (Ed.) Animal biodiversity: An outline of higher-level classification and survey of taxonomic richness. Zootaxa, 3148(1), Article 1. https://doi.org/10.11646/zootaxa.3148.1.42	Analogue	Primary literature		NA		NA	2011	10.11646/zootaxa.3148.1.42	DOI
108	Kits, J., Moisset, B., Entz, C., Carr, J. F., Marfus, V., & Santos, A. (2021). Family Keroplatidae—Predatory Fungus Gnats. https://bugguide.net/node/view/14942	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/14942	URL
109	Balaban, J., Balaban, J., Barnd, B., Collins, N., Moisset, B., Leung, R., Carr, J. F., Quinn, M., Thomas, A. W., Eiseman, C., Hess, M., & Marfus, V. (2019). Family Sciaridae—Dark-winged Fungus Gnats. https://bugguide.net/node/view/7014	Analogue	Scientific website		NA		North America	2019	https://bugguide.net/node/view/7014	URL
110	Coin, P., Barnd, B., Carr, J. F., & Marfus, V. (2022). Family Scatopsidae—Minute Black Scavenger Flies. https://bugguide.net/node/view/37474	Analogue	Scientific website		NA		North America	2022	https://bugguide.net/node/view/37474	URL
111	McLeod, R., Coin, P., Marfus, V., & Santos, A. (2023). Family Anisopodidae—Wood Gnats. https://bugguide.net/node/view/12265	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/12265	URL
112	Sundermann, A., Lohse, S., Beck, L. A., & Haase, P. (2007). Key to the larval stages of aquatic true flies (Diptera), based on the operational taxa list for running waters in Germany. Ann. Limnol. - Int. J. Lim., 43(1), 61–74. https://doi.org/10.1051/limn/2007028	Analogue	Primary literature	Identification literature	NA		Germany	2007	10.1051/limn/2007028 	DOI
113	Bartlett, T., Coin, P., Moisset, B., Barnd, B., Schusteff, A., & Marfus, V. (2021). Family Rhagionidae—Snipe Flies. https://bugguide.net/node/view/116	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/116	URL
114	Arnett, R. H. (1993). American insects: A handbook of the insects of America north of Mexico. In American insects a handbook of the insects of America north of Mexico. Sandhill Crane Press.	Analogue	Book	Identification literature	NA		North America	1993	978-08-4930-212-1	ISBN-13
115	Hull, F. M. (1962). Robber Flies of the World: The Genera of the Family Asilidae. http://repository.si.edu/xmlui/handle/10088/10126	Analogue	Book	Identification literature	NA		Global	1962	10.5479/si.03629236.224	DOI
116	Pollet, M. a. A., Brooks, S. E., & Cumming, J. M. (2004). CATALOG OF THE DOLICHOPODIDAE (DIPTERA) OF AMERICA NORTH OF MEXICO. Bulletin of the American Museum of Natural History, 2004(283), 1–114. https://doi.org/10.1206/0003-0090(2004)283<0001:COTDDO>2.0.CO;2	Analogue	Primary literature	Identification literature	NA		North America	2004	10.1206/0003-0090(2004)283<0001:COTDDO>2.0.CO;2	DOI
117	McAlpine, J. F., Peterson, B. V., Shewell, G. E., Teskey, H. J., Vockeroth, J. R., & Wood, D. M. (Coordinators). (1981). Manual of Nearctic Diptera. Volume 1. (Issue No. 27). https://publications.gc.ca/pub?id=9.817747&sl=0	Analogue	Book	Identification literature	NA		North America	1981	https://publications.gc.ca/pub?id=9.817747&sl=0	URL
118	Coin, P., Bayless, K., Barnd, B., Schusteff, A., Marfus, V., & Hess, M. (2021). Family Platypezidae—Flat-footed Flies. https://bugguide.net/node/view/8626	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/8626	URL
119	Smith, K. G. V. (1989). An introduction to the immature stages of British flies: Diptera larvae, with notes on eggs, puparia and pupae. https://www.royensoc.co.uk/wp-content/uploads/2022/01/Vol10_Part14_FigsIndex.pdf	Analogue	Book	Identification literature	NA		United Kingdom	1989	https://www.royensoc.co.uk/wp-content/uploads/2022/01/Vol10_Part14_FigsIndex.pdf	URL
120	Entz, C., Coin, P., McLeod, R., Bayless, K., Barnd, B., Schusteff, A., Carr, J. F., & Marfus, V. (2021). Family Scenopinidae—Window Flies. https://bugguide.net/node/view/90886	Analogue	Scientific website		NA		North America	2014	https://bugguide.net/node/view/90886	URL
121	Balfour, N. J., Castellanos, M. C., Goulson, D., Philippides, A., & Johnson, C. (2022). DoPI: The Database of Pollinator Interactions. Ecology, 103(11), e3801. https://doi.org/10.1002/ecy.3801	Digital	Primary literature		Metaanalysis		United Kingdom	2022	10.1002/ecy.3801	DOI
122	Ellis, W. N. (2022). Plant Parasites of Europe – leafminers, galls and fungi [Database]. https://bladmineerders.nl/	Digital	Database		NA		Europe	2022	https://bladmineerders.nl/	URL
123	Linsenmaier, W. (1997). Die Goldwespen der Schweiz. Natur-Museum, Luzerne.	Analogue	Book	Identification literature	NA		Switzerland	1997	https://swisscovery.slsp.ch/permalink/41SLSP_NETWORK/1ufb5t2/alma991026486509705501	URL
124	Agnoli, G. L., & Rosa, P. (2023). Chrysis.net. https://www.chrysis.net/	Analogue	Database		NA		Global	2023	https://www.chrysis.net/	URL
125	Bees Wasps and Ants Recording Society. (2023). Home | BWARS. Retrieved March 13, 2023, from https://www.bwars.com/	Digital	Database		NA		United Kingdom	2023	https://www.bwars.com/	URL
126	Martínez Muñoz, Carlos Alberto (Personal communication, 16.08.2022). Expert opinion on food habits of myriapods.	Analogue	Expert opinion		NA		NA	2022	10.16904/envidat.467	DOI
127	Klaiber, Jj., Altermatt, F., Birrer, S., Chittaro, Y., Dziock, F., Gonseth, Y., Hoess, R., Keller, D., Küchler, H., Luka, H., Manzke, U., Müller, A., Pfeifer, M. A., Roesti, C., Schlegel, J., Schneider, K., Sonderegger, P., Walter, T., Holderegger, R., & Bergamini, A. (2017). Fauna Indicativa. https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A12976/	Analogue	Primary literature	Report	Metaanalysis		Switzerland	2017	https://www.dora.lib4ri.ch/wsl/islandora/object/wsl%3A12976	URL
128	Baur, B., Nadig, A., Baur, H., Roesti, C., & Roesti, D. (2006). Die Heuschrecken der Schweiz (1. Auflage). Haupt Verlag.	Analogue	Book	Identification literature	NA		Switzerland	2006	32-5807-053-9	ISBN-10
129	Ingrisch, S., & Köhler, G. (1998). Die Heuschrecken Mitteleuropas. Westarp Wissenschaften.	Analogue	Book	Identification literature	NA		Central Europe	1998	38-9432-461-9	ISBN-10
130	Maas, S., Detzel, P., Staudt, A. (2002). Gefährdungsanalyse der Heuschrecken Deutschlands: Verbreitungsatlas, Gefährdungseinstufung und Schutzkonzepte. Bundesamt für Naturschutz.	Analogue	Book		NA		Germany	2002	37-8433-828-3	ISBN-10
131	Detzel, P., Baden-Württemberg, A., & Baden-Württemberg, L. für U. (1998). Die Heuschrecken Baden-Württembergs. Ulmer.	Analogue	Book	Identification literature	NA		Germany	1998	38-0013-507-8	ISBN-10
132	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K., & Svenning, J.-C. (2014). Establishing macroecological trait datasets: Digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4(14), 2913–2930. https://doi.org/10.1002/ece3.1136	Digital	Primary literature		Metaweb		Global	2014	10.1002/ece3.1136	DOI
133	DeWalt, R. E., Maehr, M. D., Hopkins, H., Neu-Becker, U., Stueber, G., & Eades, D. C. (2023). Plecoptera Species File Online. Version 5.0/5.0. http://plecoptera.speciesfile.org/	Analogue	Database		Metaanalysis		Global	2023	http://plecoptera.speciesfile.org/	URL
134	Brophy, J. (2021). Trichoptera Ireland. https://trichopteraireland.wordpress.com/	Analogue	Scientific website		Metaanalysis		Ireland	2021	https://trichopteraireland.wordpress.com/	URL
135	Kautz, A. R., Louw, M., Morse, J., Geno, M., & Wenzel, J. (2018). Macroinvertebrates.org. https://www.macroinvertebrates.org/	Analogue	Scientific website		Metaanalysis		North America	2018	https://www.macroinvertebrates.org/	URL
136	Paukkunen, J., Berg, A., Soon, V., Ødegaard, F., & Rosa, P. (2022). Cuckoo wasps—Chrysididae. https://www.biodiversity.no/Pages/200917/Cuckoo_wasps__small_Chrysididae__small	Analogue	Scientific website		NA		Norway	2022	https://www.biodiversity.no/Pages/200917/Cuckoo_wasps__small_Chrysididae__small	URL
137	Paukkunen, J., Berg, A., Soon, V., Ødegaard, F., & Rosa, P. (2015). An illustrated key to the cuckoo wasps (Hymenoptera, Chrysididae) of the Nordic and Baltic countries, with description of a new species. ZooKeys 548: 1-116, 548(548), 1–116. https://doi.org/10.3897/ZOOKEYS.548.6164	Analogue	Primary literature		Metaanalysis		Europe	2015	10.3897/ZOOKEYS.548.6164	DOI
138	Kottelat, M., & Freyhof, J. (2007). Handbook of European freshwater fishes. Kottelat.	Analogue	Book		NA		Europe	2007	978-28-3990-298-4	ISBN-13
139	vogelwarte. (2023). Birds of Switzerland. https://www.vogelwarte.ch/en/birds/birds-of-switzerland/	Analogue	Institutional website		NA		Switzerland	2023	https://www.vogelwarte.ch/en/birds/birds-of-switzerland/	URL
140	LepWiki. (2022). LepiWiki. https://lepiforum.org/wiki	Analogue	Scientific website		NA		NA	2022	https://lepiforum.org/wiki	URL
141	Gressitt, J. L. (2023). Coleopteran—Classification | Britannica. Encyclopaedia Brittanica. https://www.britannica.com/animal/beetle/Annotated-classification#ref1214262	Analogue	Institutional website	Encyclopedia	NA		NA	2023	https://www.britannica.com/animal/beetle/Annotated-classification#ref1214262	URL
142	UK Center for Ecology and Hydrology. (2023). UK Beetle Recording. https://coleoptera.org.uk/	Analogue	Scientific website		NA		United Kingdom	2023	https://coleoptera.org.uk/	URL
143	Murray, T., Harpootlian, P., Barnd, B., Quinn, M., Moyer, T., & Marfus, V. (2021). Family Clambidae—Minute Beetles. https://bugguide.net/node/view/101862	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/101862	URL
144	McClarin, J., Quinn, M., Marfus, V., Hess, M., & Parker, H. (2023). Family Corylophidae—Minute Hooded Beetles. https://bugguide.net/node/view/37509	Analogue	Scientific website		NA		North America	2023	https://bugguide.net/node/view/37509	URL
145	McClarin, J., Harpootlian, P., Marfus, V., & Ruden, E. (2022). Family Cryptophagidae—Silken Fungus Beetles. https://bugguide.net/node/view/37740	Analogue	Scientific website		NA		North America	2022	https://bugguide.net/node/view/37740	URL
146	Benjamin, S., & Zschokke, S. (2003). Webs of theridiid spiders: Construction, structure and evolution. Biological Journal of the Linnean Society, 78(3), 293–305. https://doi.org/10.1046/j.1095-8312.2003.00110.x	Analogue	Primary literature		Visual observation		United Kingdom	2003	10.1046/j.1095-8312.2003.00110.x	DOI
147	Wilson, E. O., & Hölldobler, B. (2005). The rise of the ants: A phylogenetic and ecological explanation. Proceedings of the National Academy of Sciences, 102(21), 7411–7414. https://doi.org/10.1073/pnas.0502264102	Analogue	Primary literature		Metaanalysis		Global	2005	10.1073/pnas.0502264102	DOI
148	Cresswel, S., McLeod, R., Harpootlian, P., & Marfus, V. (2021). Family Cucujidae—Flat Bark Beetles. https://bugguide.net/node/view/7529	Analogue	Scientific website		NA		North America	2021	https://bugguide.net/node/view/7529	URL
149	McClarin, J., Coin, P., Harpootlian, P., Quinn, M., Moyer, T., & Marfus, V. (2023). Family Dryopidae—Long-toed Water Beetles. https://bugguide.net/node/view/27296	Analogue	Scientific website		NA		North America	2005	https://bugguide.net/node/view/27296	URL
150	White, D. S. (2009). Coleoptera (Beetles) in Aquatic Ecosystems. Encyclopedia of Inland Waters, 144–156. https://doi.org/10.1016/B978-012370626-3.00160-5	Analogue	Book		NA		Global	2009	10.1016/B978-012370626-3.00160-5	DOI
151	Harpootlian, P., Coin, P., Gruber, J., & Marfus, V. (2021). Family Endomychidae—Handsome Fungus Beetles. https://bugguide.net/node/view/13860	Analogue	Scientific website		NA		North America	2005	https://bugguide.net/node/view/13860	URL
